"Campaign Name",Day,"Ad Set Name","Campaign ID","Ad Set ID",Age,Gender,"Delivery Status","Delivery Level","Amount Spent (USD)",Impressions,"Landing Page Views","UK Thank You","Lead - Page Contains thank-you","Lead Submission","Lead Submission Conversion Value","Lead - Page Contains thank-you Conversion Value","Reporting Starts","Reporting Ends","Unique Landing Page Views","Page Engagement","Page Likes","Post Comments","Post Engagement","Post Reactions","CPC (Cost per Link Click)","Adds to Cart","Campaign Budget","Campaign Budget Type"
"Facebook - US - PS - Lead Submissions",2020-01-05,"US - PS - ENT Photography Entrepreneur - 5.22",6054174550039,6126598149239,45-54,male,not_delivering,adset,167.46,12265,57,,2,,,,2020-01-05,2020-01-05,55,102,,,102,23,2.32583333,,1880,Daily
"Facebook - US - PS - Lead Submissions",2020-01-15,"US - PS - ENT Photography Entrepreneur - 5.22",6054174550039,6126598149239,25-34,unknown,not_delivering,adset,4.62,605,1,,,,,,2020-01-15,2020-01-15,1,3,,,3,,4.62,,1880,Daily
"Facebook - US - PS - Lead Submissions",2020-01-16,"US - PS - ENT Photography Entrepreneur - 5.22",6054174550039,6126598149239,45-54,male,not_delivering,adset,268.3,13782,94,,5,,,,2020-01-16,2020-01-16,93,127,,,127,16,2.5552381,1,1880,Daily
"Facebook - US - PS - Lead Submissions",2020-01-16,"US - PS - ENT Photography Entrepreneur - 5.22",6054174550039,6126598149239,35-44,male,not_delivering,adset,307.75,22536,126,,10,,,,2020-01-16,2020-01-16,124,181,,3,181,21,2.09353741,,1880,Daily
"Facebook - US - PS - Lead Submissions",2020-01-16,"US - PS - ENT Photography Entrepreneur - 5.22",6054174550039,6126598149239,25-34,male,not_delivering,adset,255.32,28139,82,,4,,,,2020-01-16,2020-01-16,82,159,,4,159,28,2.47883495,9,1880,Daily
"Facebook - US - PS - Lead Submissions",2020-01-15,"US - PS - ENT Photography Entrepreneur - 5.22",6054174550039,6126598149239,55-64,unknown,not_delivering,adset,0.39,25,,,,,,,2020-01-15,2020-01-15,,,,,,,,,1880,Daily
"Facebook - US - PS - Lead Submissions",2020-01-15,"US - PS - ENT Photography Entrepreneur - 5.22",6054174550039,6126598149239,18-24,unknown,not_delivering,adset,0.32,54,,,,,,,2020-01-15,2020-01-15,,,,,,,,,1880,Daily
"Facebook - US - PS - Lead Submissions",2020-01-15,"US - PS - ENT Photography Entrepreneur - 5.22",6054174550039,6126598149239,35-44,unknown,not_delivering,adset,6.73,517,2,,,,,,2020-01-15,2020-01-15,2,4,,,4,1,3.365,,1880,Daily
"Facebook - US - PS - Lead Submissions",2020-01-15,"US - PS - ENT Photography Entrepreneur - 5.22",6054174550039,6126598149239,45-54,unknown,not_delivering,adset,5.27,281,3,,,,,,2020-01-15,2020-01-15,3,3,,,3,,1.75666667,,1880,Daily
"Facebook - US - PS - Lead Submissions",2020-01-16,"US - PS - ENT Photography Entrepreneur - 5.22",6054174550039,6126598149239,18-24,female,not_delivering,adset,6.66,538,4,,,,,,2020-01-16,2020-01-16,4,8,,,8,2,1.665,,1880,Daily
"Facebook - US - PS - Lead Submissions",2020-01-15,"US - PS - ENT Photography Entrepreneur - 5.22",6054174550039,6126598149239,18-24,female,not_delivering,adset,13.08,1368,7,,1,,,,2020-01-15,2020-01-15,7,10,,,10,,1.308,,1880,Daily
"Facebook - US - PS - Lead Submissions",2020-01-15,"US - PS - ENT Photography Entrepreneur - 5.22",6054174550039,6126598149239,55-64,male,not_delivering,adset,26.24,1015,12,,,,,,2020-01-15,2020-01-15,12,14,,,14,1,2.01846154,,1880,Daily
"Facebook - US - PS - Lead Submissions",2020-01-15,"US - PS - ENT Photography Entrepreneur - 5.22",6054174550039,6126598149239,18-24,male,not_delivering,adset,42.31,6038,9,,,,,,2020-01-15,2020-01-15,9,28,,,28,6,2.82066667,,1880,Daily
"Facebook - US - PS - Lead Submissions",2020-01-15,"US - PS - ENT Photography Entrepreneur - 5.22",6054174550039,6126598149239,45-54,female,not_delivering,adset,104.64,3571,33,,1,,,,2020-01-15,2020-01-15,32,51,,,51,5,2.75368421,,1880,Daily
"Facebook - US - PS - Lead Submissions",2020-01-15,"US - PS - ENT Photography Entrepreneur - 5.22",6054174550039,6126598149239,55-64,female,not_delivering,adset,8.34,245,,,,,,,2020-01-15,2020-01-15,,4,,,4,1,8.34,,1880,Daily
"Facebook - US - PS - Lead Submissions",2020-01-15,"US - PS - ENT Photography Entrepreneur - 5.22",6054174550039,6126598149239,35-44,female,not_delivering,adset,133.45,6420,23,,1,,,,2020-01-15,2020-01-15,22,43,,1,43,7,5.13269231,,1880,Daily
